condition,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,gramm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm,pragm
trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
sentence,"A hal kék, de nem pöttyös.","A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",A kisfiú palacsintát süt a bohócnak.,A kecskét a kakas kergeti.,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,"A pöttyös labda nagyobb, mint a csíkos kancsó",A sárga táska a zöld széken van,A zöld csésze a kockás vödör fölött van.,"A fiú, aki megpuszilja a lányt, az barna hajú.","A szív, ami a négyzetben van, az pöttyös.","A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.","A kislány, aki a busz elejénél áll, piros szoknyában van.","A sárkány, aki a szekrény mögé bújt, csokit eszik.","A könyv azon a tányéron van, ami kék.","A lány azt a macskát kergeti, ami kövér.","A felhő, ami előtt a madár van, az lila.","A róka, amit a malac kerget, az kicsi.","A bohóc alszik, de az elefánt nem.",A malac locsolja meg a fát.,A szarvas a tévét szereli meg.,A szoba egy rettenetes disznóól.,A hegedűtanár egy sárkány.,Pisti egy igazi éjszakai bagoly.,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,A kislánynak van legalább 3 kutyája.,A legtöbb malac kapott kukoricát,Néhány alma kigurult a kosárból.,A festő rajzolt egy házat.,A fiú már elkészült a homokvárral.,A virágot már kiszínezte a bohóc.,A malac is felmászott a fára.,A fiú a békát is megfogta.,Piros lufit minden gyerek kapott.,Kalapja a libának is van.,"De ügyes vagy, hogy eltörted a poharat.","Látom, lustálkodtál egész nap, meg is telt a kosár."
ID,gramm_0,gramm_1,gramm_2,gramm_3,gramm_4,gramm_5,gramm_6,gramm_7,gramm_8,gramm_9,gramm_10,gramm_11,gramm_12,gramm_13,gramm_14,gramm_15,gramm_16,gramm_17,pragm_0,pragm_1,pragm_2,pragm_3,pragm_4,pragm_5,pragm_6,pragm_7,pragm_8,pragm_9,pragm_10,pragm_11,pragm_12,pragm_13,pragm_14,pragm_15,pragm_16,pragm_17
1001,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
1002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
1004,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1103,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
113,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1201,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1204,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1205,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1210,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
1212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1213,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1214,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1
1303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1304,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0
1305,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1306,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
1307,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
1308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0
1309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1310,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
1313,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
1314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
1315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1316,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0
1317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
1318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
1321,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1322,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1
1323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1324,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
1325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1328,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0
1329,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
1332,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
1336,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
1337,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
1338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
1339,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0
1341,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
1342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
1344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
1345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1
1346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
1347,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0
1348,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
1349,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1350,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1353,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
1354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
1356,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
1357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0
1358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0
1359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1360,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1
1361,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
1363,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1364,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
1367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1368,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
1369,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0
137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1370,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0
1371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1
1372,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1374,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1375,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0
1377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
1379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1380,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1
1383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
200,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
2001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0
2006,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
2007,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
2101,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
2102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1
2103,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2201,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0
2202,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2203,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
2204,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
2206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0
2207,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
2210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2211,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
2212,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
2213,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1
2214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2303,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
2305,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
2306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2307,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2308,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
2309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2310,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
2311,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
2313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
2314,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1
2315,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
